,SizeRank_x,unemployment_rate_x,MORTGAGE30US_x,Avg Income_x,Prediction,Actual,ZIP
24229,549,9.8,3.98,44967.937299608115,344374.0708577278,383658.3333,90640
41470,3418,4.6,3.85,69902.91262135922,204840.75561032645,202477.0833,53105
6608,1027,7.2,4.45,56936.74794173527,203990.19397867698,208554.1667,80537
39868,3226,4.4,3.85,43215.81196581197,143595.24794798964,137420.7083,37086
21605,10544,10.1,3.98,55113.63636363637,354709.2924054022,373016.6667,54557
22879,4013,4.8,3.98,27965.70898980537,63938.891331800376,59345.83333,73119
45548,3680,5.1,3.85,83057.10862619808,360521.8496641308,428908.25,95603
8934,756,7.9,3.66,55023.50776778414,205557.33420041893,218833.25,12550
40276,5398,5.5,3.85,53355.501813784766,146434.81231173442,134175.0,40330
21934,9043,7.9,3.98,160109.44700460832,508868.6904277981,466720.8333,60069
51834,3223,4.4,3.65,53053.652968036535,138104.72741001588,124511.875,43050
14926,1424,6.2,3.66,45660.011092623405,141875.69951898386,124458.3333,83704
15853,5937,11.9,3.66,45107.142857142855,169883.2229224107,172920.8333,97424
16600,5591,7.3,3.98,88821.036889332,355432.83367598173,360000.0,6850
1460,617,5.8,4.45,102080.30630276851,339615.51460900326,358357.0833,19380
9342,8347,7.7,3.66,151235.46511627908,539763.4883934001,545266.25,19317
53303,2862,3.3,3.65,74235.04867872044,251720.7679857448,242516.6667,55343
38541,457,5.1,3.85,91380.73394495412,316891.828390219,247488.6667,30066
21319,1775,7.8,3.98,45922.301304863584,109445.35715592159,95460.375,49221
46280,1548,4.9,3.65,43165.18557239937,176245.8541179595,191147.1667,2740
7671,1538,7.9,4.45,74822.48032146199,236490.38892382677,244676.2083,98092
46345,4319,3.0,3.65,94898.14152966405,284037.52321392315,254858.3333,3054
55798,8405,2.9,3.65,113773.14814814815,488531.2967324469,289843.8333,79124
1448,8347,5.8,4.45,150220.37218413322,518715.8026923998,522797.5,19317
48496,3783,2.6,3.65,104468.69851729821,399065.2069399043,401445.8333,22206
2633,1245,8.7,4.45,124808.98404701932,398365.7765195306,387541.5833,30097
19258,1510,9.8,3.98,57121.61269001982,197266.61625597734,179503.0833,30813
11971,518,6.8,3.66,54589.39708939709,130485.83403594965,123626.6667,41042
3711,6586,13.2,4.45,42469.968856592015,140337.6307647456,138779.1667,38606
46183,8620,4.0,3.65,72121.53518123669,315934.4815382745,345904.1667,1952
6772,3694,6.0,4.45,54900.15618027666,165479.98101182797,167516.6667,84405
26792,6215,7.5,4.17,63541.66666666666,155166.23141684794,126766.6667,18302
49949,5067,5.7,3.65,51865.918097754286,194778.0048137839,210783.3333,30540
13257,6622,9.6,3.66,90386.97788697787,248256.6315296141,219037.5,60118
24336,1018,9.8,3.98,40172.506256703615,294417.7198619822,298616.6667,91766
45454,3119,3.6,3.85,134520.59419311275,632800.8119616907,760458.3333,94903
21887,5872,7.7,3.98,73559.13173652695,385508.6095941509,442295.4545,59937
20400,3448,7.8,3.98,46477.703984819724,129802.04817628124,121028.9583,39466
51436,1269,4.9,3.65,51220.51114023591,177340.11486719194,176958.3333,38501
32673,7739,6.9,4.17,53893.00847457627,158266.3351222683,131316.6667,74953
52230,3568,4.5,3.65,167568.51721714687,593739.1531930029,425066.6667,46077
24976,4842,5.1,3.98,100470.36688617119,368371.9209370161,386985.0,98028
31001,2972,5.0,4.17,53857.04175513093,166851.3010361038,116637.5,52601
12707,2939,6.8,3.66,96587.79149519892,245383.61569564996,228370.8333,49546
18600,968,6.6,3.98,51867.7494199536,176952.1901505218,168925.25,28110
23245,2439,5.4,3.98,100248.62825788753,298384.6114826931,291716.9167,77354
19025,1245,6.9,3.98,131060.60606060605,424609.0592198153,419541.6667,30097
7836,4281,5.8,3.66,83853.06553911205,334006.5693595105,352191.6667,1002
54398,7139,4.2,3.65,99622.92609351431,301261.1805490242,244889.7917,67002
10266,1652,10.4,3.66,75884.58994708995,249776.1876949511,252835.6667,28411
56799,4331,5.3,3.65,63855.985037406484,328841.171926778,440425.0,91351
28085,8287,7.7,4.17,44548.611111111124,158519.70117164426,170529.1667,28777
14199,4770,7.1,3.66,76008.52272727272,250389.20538016525,259485.5,75001
