,SizeRank,unemployment_rate,MORTGAGE30US,Avg Income,Prediction,Actual
40343,4900,9.7,3.85,43987.5296912114,161249.45671776717,155086.4583
45061,1354,6.7,3.85,61503.79506641366,494243.2787005266,600991.4583
56412,4437,5.0,3.65,77079.50367647059,254239.40596875915,238774.9167
15286,1267,10.9,3.66,38879.38896488828,263194.4229406418,273366.6667
25872,2597,7.4,4.17,70822.6386036961,337429.08091729984,322547.125
6188,1935,6.6,4.45,80997.25592143269,361280.64873413567,309961.75
45614,1815,7.2,3.85,49811.845549738224,246262.59207839365,287204.1667
23544,2424,8.1,3.98,28773.866348448686,131811.44451118016,135595.8333
27149,6576,5.1,4.17,84034.93699885452,421721.12495406135,484223.95
47806,9023,5.1,3.65,67865.56603773584,267790.72048008075,278437.5
32021,4197,7.3,4.17,43640.56420233463,131838.6610080444,127045.8333
37498,9770,3.4,3.85,58147.77327935223,277281.81507401704,269054.1667
10730,9613,10.2,3.66,42313.2183908046,212818.75457374708,229250.0
9806,1492,7.5,3.66,41100.39149888143,139549.4157939771,138702.0833
30137,300,4.9,4.17,39601.98520825224,111562.28417086734,100112.5
19465,4094,6.1,3.98,46631.87855787476,165617.3036561388,162941.6667
40866,4179,4.2,3.85,73709.1381872214,230805.86461317827,202836.875
52749,5274,3.4,3.65,67139.57055214724,307463.431719441,326591.6667
44707,5326,17.2,3.85,34226.552984165646,118962.94511489249,114779.1667
31076,4456,6.1,4.17,50032.29974160207,139302.60773497436,123579.1667
8334,1638,9.5,3.66,47624.01483541956,215024.4500062352,225912.5
15107,5096,7.4,3.66,68270.44025157232,286310.45020741835,309135.375
30009,6448,4.9,4.17,47723.88059701493,148331.4775651135,137933.3333
30267,6856,5.9,4.17,35003.67107195301,84059.21343622991,57466.66667000001
50329,1078,4.3,3.65,42742.82560706402,207819.5966440677,210470.7917
57103,6086,4.0,3.65,91735.96673596674,669351.1830172021,699840.5417
14670,2628,5.8,3.66,62883.654532476794,202849.27073878606,200120.8333
51814,4011,4.1,3.65,66086.14232209737,235588.54383203015,191332.9167
10679,703,9.4,3.66,83984.57258472433,447369.43467380217,343834.6667
55505,6031,5.3,3.65,46401.515151515145,180718.54470010285,184210.8333
31270,5574,3.9,4.17,57373.15010570824,191358.65788137825,172083.3333
11473,7600,6.9,3.66,58418.84328358209,201756.32719885267,197358.3333
45217,4185,4.5,3.85,99050.15197568393,840255.5199661077,965772.9167
50079,4195,5.9,3.65,24215.637450199203,57863.213306619946,30172.0
45916,1284,6.2,3.85,55345.30386740332,265434.3266108544,275258.3333
55083,4541,4.0,3.65,121866.13055818352,1293367.3665134034,1350079.167
11342,2580,8.0,3.66,51310.861423220966,140928.13287347247,126061.9583
21773,2513,5.0,3.98,49870.01733102253,156715.42656134738,143333.3333
52647,9041,5.6,3.65,47335.02538071066,131622.0010213993,109772.0
38959,5995,5.5,3.85,46632.12435233161,176789.16993131678,183372.5
5906,559,5.3,4.45,72421.20515399723,257956.42018836492,207261.25
30199,140,5.5,4.17,59702.743902439026,164076.6377953217,142204.1667
1571,7352,6.7,4.45,71745.04763344927,340363.63210437266,334426.125
10270,4739,10.4,3.66,56866.825208085625,228550.28139382947,228894.2917
20025,8012,6.1,3.98,48709.8623853211,174789.73382098746,174604.1667
15564,3754,7.9,3.66,34628.46677132392,279487.6663362535,324150.0
56132,9991,2.4,3.65,51020.4081632653,327117.8739186002,346320.0
2562,3757,9.3,4.45,41436.2896435588,155038.59923642038,174912.5
17069,4316,7.7,3.98,39921.94674012857,278607.4505053637,351745.75
21672,8921,8.6,3.98,44179.10447761193,141558.58243069268,140404.1667
15341,2834,10.9,3.66,59422.84139620331,400629.03529762506,521420.8333
1551,3317,4.8,4.45,93123.51696273973,429878.0540666613,423454.0833
918,6822,6.8,4.45,40918.29085457271,247345.21156717735,301861.2917
19340,3819,6.9,3.98,37382.95880149813,108933.65700476352,96158.33333
